index,x,y,stamp_sec,stamp_nanosec
108,1.7703235201518082,1.7606539727844879,621,100000000
109,1.760449479574431,1.7752097678535068,621,100000000
110,1.7495817536933842,1.7889666563118485,621,100000000
111,1.7371431961433115,1.8011764125275493,621,100000000
112,1.724147259295826,1.8127311307173062,621,100000000
113,1.7301980628305924,1.8294253361139485,621,100000000
114,1.7346942905087863,1.8466497844384147,621,100000000
115,1.7360314286179777,1.8644518869288536,621,100000000
116,1.7373742887731534,1.8822534444625327,621,100000000
117,1.7382565242266401,1.9000871544450726,621,100000000
118,1.7391922087914753,1.91791704973029,621,100000000
119,1.740309958455792,1.9357360458803003,621,100000000
120,1.7414400625375732,1.95355395211679,621,100000000
121,1.7428114028761672,1.9713527848666672,621,100000000
122,1.7440957421065093,1.9891592470111894,621,100000000
